artist,convertedManaCost,loyalty,manaCost,name,power,prices/paper/2019-07-14,rarity,text,toughness,type,,
Daniel Ljunggren,3,,{1}{B}{G},Charnel Troll,4,0.49,rare,"Trample
At the beginning of your upkeep, exile a creature card from your graveyard. If you do, put a +1/+1 counter on Charnel Troll. Otherwise, sacrifice it.
{B}{G}, Discard a creature card: Put a +1/+1 counter on Charnel Troll.",4,Creature — Troll,,
Daniel Ljunggren,4,,{3}{G},Emergent Growth,,0.25,uncommon,Target creature gets +5/+5 until end of turn and must be blocked this turn if able.,,Sorcery,,
Daniel Ljunggren,6,,{4}{B}{B},Gravewaker,5,0.49,rare,"Flying (This creature can't be blocked except by creatures with flying or reach.)
{5}{B}{B}: Return target creature card from your graveyard to the battlefield tapped.",5,Creature — Bird Spirit,,
Daniel Ljunggren,2,,{1}{G},Naturalize,,0.15,common,Destroy target artifact or enchantment.,,Instant,,
Daniel Ljunggren,7,,{4}{G}{G}{G},Pelakka Wurm,7,0.32,rare,"Trample
When Pelakka Wurm enters the battlefield, you gain 7 life.
When Pelakka Wurm dies, draw a card.",7,Creature — Wurm,,
Daniel Ljunggren,4,,{2}{G}{G},Scapeshift,,16.52,mythic,"Sacrifice any number of lands. Search your library for up to that many land cards, put them onto the battlefield tapped, then shuffle your library.",,Sorcery,,
Daniel Ljunggren,3,,{2}{W},Expose to Daylight,,0.15,common,Destroy target artifact or enchantment. Scry 1.,,Instant,,
Daniel Ljunggren,2,,{1}{G},Incubation Druid,0,3.95,rare,"{T}: Add one mana of any type that a land you control could produce. If Incubation Druid has a +1/+1 counter on it, add three mana of that type instead.
{3}{G}{G}: Adapt 3. (If this creature has no +1/+1 counters on it, put three +1/+1 counters on it.)",2,Creature — Elf Druid,,
Daniel Ljunggren,1,,{U},Curious Obsession,"Enchant creature
Enchanted creature gets +1/+1 and has ""Whenever this creature deals combat damage to a player, you may draw a card.""
At the beginning of your end step, if you didn't attack with a creature this turn, sacrifice Curious Obsession.",Enchantment — Aura,,1.36,uncommon,"Enchant creature
Enchanted creature gets +1/+1 and has ""Whenever this creature deals combat damage to a player, you may draw a card.""
At the beginning of your end step, if you didn't attack with a creature this turn, sacrifice Curious Obsession.",,Enchantment — Aura
Darek Zabrocki,6,,{5}{B},Feral Abomination,5,0.15,common,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.),5,Creature — Thrull,,
Darek Zabrocki,5,,{4}{B},Douser of Lights,4,0.14,common,,5,Creature — Horror,,
Darek Zabrocki,3,,{2}{B},Mephitic Vapors,,0.15,common,"All creatures get -1/-1 until end of turn.
Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on the top of your library in any order.)",,Sorcery,,
Darek Zabrocki,4,,{U}{U}{B}{B},Nightveil Predator,3,0.25,uncommon,"Flying, deathtouch
Hexproof (This creature can't be the target of spells or abilities your opponents control.)",3,Creature — Vampire,,
Dave Kendall,1,,{B},Diregraf Ghoul,2,0.25,uncommon,Diregraf Ghoul enters the battlefield tapped.,2,Creature — Zombie,,
David Gaillet,3,,{2}{W},Militia Bugler,2,0.3,uncommon,"Vigilance (Attacking doesn't cause this creature to tap.)
When Militia Bugler enters the battlefield, look at the top four cards of your library. You may reveal a creature card with power 2 or less from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",3,Creature — Human Soldier,,
David Palumbo,2,,{1}{G},Gaea's Blessing,,0.25,uncommon,"Target player shuffles up to three target cards from their graveyard into their library.
Draw a card.
When Gaea's Blessing is put into your graveyard from your library, shuffle your graveyard into your library.",,Sorcery,,
David Palumbo,4,,{3}{G},Golgari Raiders,0,0.22,uncommon,"Haste
Undergrowth — Golgari Raiders enters the battlefield with a +1/+1 counter on it for each creature card in your graveyard.",0,Creature — Elf Warrior,,
David Palumbo,1,,{W},Hunted Witness,1,0.2,common,"When Hunted Witness dies, create a 1/1 white Soldier creature token with lifelink.",1,Creature — Human,,
David Palumbo,1,,{B},Vicious Rumors,,0.18,common,"Vicious Rumors deals 1 damage to each opponent. Each opponent discards a card, then puts the top card of their library into their graveyard. You gain 1 life.",,Sorcery,,
David Palumbo,3,,{2}{B},Vanquish the Weak,,0.15,common,Destroy target creature with power 3 or less.,,Instant,,
David Palumbo,5,,{4}{U},Totally Lost,,0.15,common,Put target nonland permanent on top of its owner's library.,,Instant,,
David Palumbo,3,,{2}{U},Clear the Mind,,0.15,common,"Target player shuffles their graveyard into their library.
Draw a card.",,Sorcery,,
David Palumbo,4,,{3}{B},Dead Revels,,0.14,common,"Spectacle {1}{B} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)
Return up to two target creature cards from your graveyard to your hand.",,Sorcery,,
David Palumbo,4,,{3}{R},Ghor-Clan Wrecker,2,0.14,common,"Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)
Menace (This creature can't be blocked except by two or more creatures.)",2,Creature — Human Warrior,,
David Palumbo,5,,{4}{B},Orzhov Racketeers,3,0.23,uncommon,"Whenever Orzhov Racketeers deals combat damage to a player, that player discards a card.
Afterlife 2 (When this creature dies, create two 1/1 white and black Spirit creature tokens with flying.)",2,Creature — Human Rogue,,
David Palumbo,3,,{2}{B},Angrath's Ambusher,Angrath's Ambusher gets +2/+0 as long as you control an Angrath planeswalker.,Creature — Orc Pirate,2,0.25,uncommon,Angrath's Ambusher gets +2/+0 as long as you control an Angrath planeswalker.,3,Creature — Orc Pirate
David Palumbo,4,,{3}{B},Pitiless Plunderer,"Whenever another creature you control dies, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool.""",Creature — Human Pirate,1,0.84,uncommon,"Whenever another creature you control dies, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",4,Creature — Human Pirate
Dermot Power,4,,{3}{B},Gravedigger,2,0.24,uncommon,"When Gravedigger enters the battlefield, you may return target creature card from your graveyard to your hand.",2,Creature — Zombie,,
Deruchenko Alexander,2,,{1}{U},Disdainful Stroke,,0.15,common,Counter target spell with converted mana cost 4 or greater.,,Instant,,
Deruchenko Alexander,6,,{X}{U}{U}{R}{R},Explosion,,3,rare,Explosion deals X damage to any target. Target player draws X cards.,,Instant,,
Deruchenko Alexander,6,,{U/R}{U/R},Expansion,,3,rare,Copy target instant or sorcery spell with converted mana cost 4 or less. You may choose new targets for the copy.,,Instant,,
Deruchenko Alexander,2,,{1}{R},Fire Urchin,1,0.15,common,"Trample
Whenever you cast an instant or sorcery spell, Fire Urchin gets +1/+0 until end of turn.",3,Creature — Elemental,,
Deruchenko Alexander,3,,{1}{U/B}{U/B},Whisper Agent,3,0.15,common,"Flash
When Whisper Agent enters the battlefield, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",2,Creature — Human Rogue,,
Deruchenko Alexander,1,,{B},Deadeye Tracker,1,0.55,rare,"{1}{B}, {T}: Exile two target cards from an opponent's graveyard. Deadeye Tracker explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",1,Creature — Human Pirate,,
Deruchenko Alexander,2,,{1}{B},Dire Fleet Hoarder,2,0.15,common,"When Dire Fleet Hoarder dies, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",1,Creature — Human Pirate,,
Deruchenko Alexander,3,,{2}{W},Emissary of Sunrise,2,0.25,uncommon,"First strike
When Emissary of Sunrise enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",1,Creature — Human Cleric,,
Deruchenko Alexander,4,,{3}{U},Pirate's Prize,,0.15,common,"Draw two cards. Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",,Sorcery,,
Deruchenko Alexander,1,,{B},Skulduggery,,0.15,common,"Until end of turn, target creature you control gets +1/+1 and target creature an opponent controls gets -1/-1.",,Instant,,
Deruchenko Alexander,1,,{U},Spell Pierce,,0.34,common,Counter target noncreature spell unless its controller pays {2}.,,Instant,,
Deruchenko Alexander,3,,{2}{R},Catalyst Elemental,2,0.15,common,Sacrifice Catalyst Elemental: Add {R}{R}.,2,Creature — Elemental,,
Deruchenko Alexander,2,,{1}{R},Dark-Dweller Oracle,2,0.5,rare,"{1}, Sacrifice a creature: Exile the top card of your library. You may play that card this turn. (You still pay its costs. You can play a land this way only if you have an available land play remaining.)",2,Creature — Goblin Shaman,,
Deruchenko Alexander,5,,{5},Gearsmith Guardian,3,0.15,common,Gearsmith Guardian gets +2/+0 as long as you control a blue creature.,5,Artifact Creature — Construct,,
Deruchenko Alexander,1,,{U},Gearsmith Prodigy,1,0.15,common,Gearsmith Prodigy gets +1/+0 as long as you control an artifact.,2,Creature — Human Artificer,,
Deruchenko Alexander,1,,{B/R},Footlight Fiend,1,0.16,common,"When Footlight Fiend dies, it deals 1 damage to any target.",1,Creature — Devil,,
Deruchenko Alexander,4,,{2}{B}{R},Macabre Mockery,,0.24,uncommon,Put target creature card from an opponent's graveyard onto the battlefield under your control. It gets +2/+0 and gains haste until end of turn. Sacrifice it at the beginning of the next end step.,,Instant,,
Deruchenko Alexander,3,,{1}{R}{G},Rubblebelt Runner,3,0.13,common,Rubblebelt Runner can't be blocked by creature tokens.,3,Creature — Viashino Warrior,,
Deruchenko Alexander,4,,{3}{R},Spikewheel Acrobat,5,0.15,common,Spectacle {2}{R} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.),2,Creature — Human Rogue,,
Deruchenko Alexander,2,,{1}{W},Summary Judgment,,0.14,common,"Summary Judgment deals 3 damage to target tapped creature.
Addendum — If you cast this spell during your main phase, it deals 5 damage to that creature instead.",,Instant,,
Deruchenko Alexander,3,,{1}{B}{B},Golden Demise,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
All creatures get -2/-2 until end of turn. If you have the city's blessing, instead only creatures your opponents control get -2/-2 until end of turn.",Sorcery,,0.29,uncommon,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
All creatures get -2/-2 until end of turn. If you have the city's blessing, instead only creatures your opponents control get -2/-2 until end of turn.",,Sorcery
Deruchenko Alexander,3,,{2}{U},Hornswoggle,"Counter target creature spell. You create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool.""",Instant,,0.25,uncommon,"Counter target creature spell. You create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",,Instant
Deruchenko Alexander,3,,,"Atzal, Cave of Eternity","(Transforms from Journey to Eternity.)
{T}: Add one mana of any color to your mana pool.
{3}{B}{G}, {T}: Return target creature card from your graveyard to the battlefield.",Legendary Land,,3.35,rare,"(Transforms from Journey to Eternity.)
{T}: Add one mana of any color.
{3}{B}{G}, {T}: Return target creature card from your graveyard to the battlefield.",,Legendary Land
Deruchenko Alexander,3,,{1}{B}{G},Journey to Eternity,"Enchant creature you control
When enchanted creature dies, return it to the battlefield under your control, then return Journey to Eternity to the battlefield transformed under your control.",Legendary Enchantment — Aura,,3.35,rare,"Enchant creature you control
When enchanted creature dies, return it to the battlefield under your control, then return Journey to Eternity to the battlefield transformed under your control.",,Legendary Enchantment — Aura
Deruchenko Alexander,1,,{U},Sea Legs,"Flash
Enchant creature
Enchanted creature gets +0/+2 as long as it's a Pirate. Otherwise, it gets -2/-0.",Enchantment — Aura,,0.15,common,"Flash
Enchant creature
Enchanted creature gets +0/+2 as long as it's a Pirate. Otherwise, it gets -2/-0.",,Enchantment — Aura
Dimitar Marinski,0,,,Cabal Stronghold,,1.21,rare,"{T}: Add {C}.
{3}, {T}: Add {B} for each basic Swamp you control.",,Land,,
Dimitar Marinski,0,,,Forest,,0.15,common,({T}: Add {G}.),,Basic Land — Forest,,
Dimitar Marinski,0,,,Island,,0.15,common,({T}: Add {U}.),,Basic Land — Island,,
Dimitar Marinski,0,,,Mountain,,0.15,common,({T}: Add {R}.),,Basic Land — Mountain,,
Dimitar Marinski,0,,,Plains,,0.15,common,({T}: Add {W}.),,Basic Land — Plains,,
Dimitar Marinski,0,,,Swamp,,0.19,common,({T}: Add {B}.),,Basic Land — Swamp,,
Dimitar Marinski,4,,{2}{B}{B},Ritual of Soot,,1.08,rare,Destroy all creatures with converted mana cost 3 or less.,,Sorcery,,
Dimitar Marinski,0,,,Selesnya Guildgate,,0.15,common,"Selesnya Guildgate enters the battlefield tapped.
{T}: Add {G} or {W}.",,Land — Gate,,
Dimitar Marinski,0,,,Selesnya Guildgate,,0.15,common,"Selesnya Guildgate enters the battlefield tapped.
{T}: Add {G} or {W}.",,Land — Gate,,
Dimitar Marinski,6,,{4}{U}{R},Thousand-Year Storm,,3.27,mythic,"Whenever you cast an instant or sorcery spell, copy it for each other instant and sorcery spell you've cast before it this turn. You may choose new targets for the copies.",,Enchantment,,
Dimitar Marinski,0,,,Field of Ruin,,3.97,uncommon,"{T}: Add {C}.
{2}, {T}, Sacrifice Field of Ruin: Destroy target nonbasic land an opponent controls. Each player searches their library for a basic land card, puts it onto the battlefield, then shuffles their library.",,Land,,
Dimitar Marinski,2,,{2},Pillar of Origins,,0.35,uncommon,"As Pillar of Origins enters the battlefield, choose a creature type.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type.",,Artifact,,
Dimitar Marinski,4,,{2}{W}{W},Settle the Wreckage,,3.1,rare,"Exile all attacking creatures target player controls. That player may search their library for that many basic land cards, put those cards onto the battlefield tapped, then shuffle their library.",,Instant,,
Dimitar Marinski,0,,,Sunpetal Grove,,3.94,rare,"Sunpetal Grove enters the battlefield tapped unless you control a Forest or a Plains.
{T}: Add {G} or {W}.",,Land,,
Dimitar Marinski,0,,,Unclaimed Territory,,2.29,uncommon,"As Unclaimed Territory enters the battlefield, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type.",,Land,,
Dimitar Marinski,3,,{3},Desecrated Tomb,,0.49,rare,"Whenever one or more creature cards leave your graveyard, create a 1/1 black Bat creature token with flying.",,Artifact,,
Dimitar Marinski,4,,{3}{B},Fell Specter,1,0.29,uncommon,"Flying
When Fell Specter enters the battlefield, target opponent discards a card.
Whenever an opponent discards a card, that player loses 2 life.",3,Creature — Specter,,
Dimitar Marinski,2,,{1}{U},Wall of Mist,0,0.15,common,Defender,5,Creature — Wall,,
Dimitar Marinski,2,,{2},Glass of the Guildpact,,0.44,rare,Multicolored creatures you control get +1/+1.,,Artifact,,
Dimitar Marinski,0,,,Forest,G,Basic Land — Forest,,0.25,common,({T}: Add {G}.),,Basic Land — Forest
Dimitar Marinski,0,,,Island,U,Basic Land — Island,,0.26,common,({T}: Add {U}.),,Basic Land — Island
Dimitar Marinski,0,,,Mountain,R,Basic Land — Mountain,,0.25,common,({T}: Add {R}.),,Basic Land — Mountain
Dimitar Marinski,0,,,Plains,W,Basic Land — Plains,,0.25,common,({T}: Add {W}.),,Basic Land — Plains
Dimitar Marinski,0,,,Swamp,B,Basic Land — Swamp,,0.29,common,({T}: Add {B}.),,Basic Land — Swamp
Dmitry Burmak,7,,{4}{G}{W},Flourish,,0.25,uncommon,Creatures you control get +2/+2 until end of turn.,,Sorcery,,
Dmitry Burmak,7,,{G/W},Flower,,0.25,uncommon,"Search your library for a basic Forest or Plains card, reveal it, put it into your hand, then shuffle your library.",,Sorcery,,
Dmitry Burmak,3,,{3},Izzet Locket,,0.15,common,"{T}: Add {U} or {R}.
{U/R}{U/R}{U/R}{U/R}, {T}, Sacrifice Izzet Locket: Draw two cards.",,Artifact,,
Dmitry Burmak,3,,{1}{U}{U},Quasiduplicate,,0.7,rare,"Create a token that's a copy of target creature you control.
Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)",,Sorcery,,
Dmitry Burmak,4,,{2}{B}{G},Poison-Tip Archer,2,0.35,uncommon,"Reach (This creature can block creatures with flying.)
Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Whenever another creature dies, each opponent loses 1 life.",3,Creature — Elf Archer,,
Dmitry Burmak,5,,{4}{B},Blade Juggler,3,0.15,common,"Spectacle {2}{B} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)
When Blade Juggler enters the battlefield, it deals 1 damage to you and you draw a card.",2,Creature — Human Rogue,,
Dmitry Burmak,7,,{5}{B}{R},Captive Audience,,1,mythic,"Captive Audience enters the battlefield under the control of an opponent of your choice.
At the beginning of your upkeep, choose one that hasn't been chosen —
• Your life total becomes 4.
• Discard your hand.
• Each opponent creates five 2/2 black Zombie creature tokens.",,Enchantment,,
Dmitry Burmak,2,,{X}{R}{R},Electrodominance,,2.1,rare,Electrodominance deals X damage to any target. You may cast a card with converted mana cost X or less from your hand without paying its mana cost.,,Instant,,
Dmitry Burmak,3,,{2}{R},Light Up the Stage,,2.94,uncommon,"Spectacle {R} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)
Exile the top two cards of your library. Until the end of your next turn, you may play those cards.",,Sorcery,,
Dmitry Burmak,1,,{R},Storm Strike,,0.14,common,Target creature gets +1/+0 and gains first strike until end of turn. Scry 1.,,Instant,,
Donato Giancola,5,,{3}{W}{W},Serra Angel,4,0.24,uncommon,"Flying, vigilance",4,Creature — Angel,,
Donato Giancola,6,,{4}{R}{R},Shivan Dragon,5,0.35,rare,"Flying (This creature can't be blocked except by creatures with flying or reach.)
{R}: Shivan Dragon gets +1/+0 until end of turn.",5,Creature — Dragon,,
Drew Baker,3,,{3},Gargoyle Sentinel,3,0.21,uncommon,"Defender (This creature can't attack.)
{3}: Until end of turn, Gargoyle Sentinel loses defender and gains flying.",3,Artifact Creature — Gargoyle,,
Efflam Mercier,0,,,Stone Quarry,,0.17,common,"Stone Quarry enters the battlefield tapped.
{T}: Add {R} or {W}.",,Land,,
Efflam Mercier,0,,,Woodland Stream,,0.18,common,"Woodland Stream enters the battlefield tapped.
{T}: Add {G} or {U}.",,Land,,
Ekaterina Burmak,3,,{2}{U},Code of Constraint,,0.2,uncommon,"Target creature gets -4/-0 until end of turn.
Draw a card.
Addendum — If you cast this spell during your main phase, tap that creature and it doesn't untap during its controller's next untap step.",,Instant,,
Emrah Elmasli,4,,,Conqueror's Foothold,,0.4,rare,"(Transforms from Conqueror's Galleon.)
{T}: Add {C}.
{2}, {T}: Draw a card, then discard a card.
{4}, {T}: Draw a card.
{6}, {T}: Return target card from your graveyard to your hand.",,Land,,
Emrah Elmasli,4,,{4},Conqueror's Galleon,2,0.4,rare,"When Conqueror's Galleon attacks, exile it at end of combat, then return it to the battlefield transformed under your control.
Crew 4 (Tap any number of creatures you control with total power 4 or more: This Vehicle becomes an artifact creature until end of turn.)",10,Artifact — Vehicle,,
Emrah Elmasli,3,,{2}{R},Blood Sun,"When Blood Sun enters the battlefield, draw a card.
All lands lose all abilities except mana abilities.",Enchantment,,1.76,rare,"When Blood Sun enters the battlefield, draw a card.
All lands lose all abilities except mana abilities.",,Enchantment
Emrah Elmasli,3,,{2}{W},Radiant Destiny,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
As Radiant Destiny enters the battlefield, choose a creature type.
Creatures you control of the chosen type get +1/+1. As long as you have the city's blessing, they also have vigilance.",Enchantment,,1.39,rare,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
As Radiant Destiny enters the battlefield, choose a creature type.
Creatures you control of the chosen type get +1/+1. As long as you have the city's blessing, they also have vigilance.",,Enchantment
Eric Deschamps,5,,{3}{B}{B},Final Parting,,0.28,uncommon,Search your library for two cards. Put one into your hand and the other into your graveyard. Then shuffle your library.,,Sorcery,,
Eric Deschamps,5,,{3}{R}{W},"Tiana, Ship's Caretaker",3,0.25,uncommon,"Flying, first strike
Whenever an Aura or Equipment you control is put into a graveyard from the battlefield, you may return that card to its owner's hand at the beginning of the next end step.",3,Legendary Creature — Angel Artificer,,
Eric Deschamps,5,,{3}{U}{U},Weight of Memory,,0.25,uncommon,Draw three cards. Target player puts the top three cards of their library into their graveyard.,,Sorcery,,
Eric Deschamps,6,,{2}{B}{B}{G}{G},"Izoni, Thousand-Eyed",2,0.49,rare,"Undergrowth — When Izoni, Thousand-Eyed enters the battlefield, create a 1/1 black and green Insect creature token for each creature card in your graveyard.
{B}{G}, Sacrifice another creature: You gain 1 life and draw a card.",3,Legendary Creature — Elf Shaman,,
Eric Deschamps,3,,{2}{B},Deadeye Tormentor,2,0.15,common,"Raid — When Deadeye Tormentor enters the battlefield, if you attacked with a creature this turn, target opponent discards a card.",2,Creature — Human Pirate,,
Eric Deschamps,4,,{2}{U}{U},Dreamcaller Siren,3,0.35,rare,"Flash
Flying
Dreamcaller Siren can block only creatures with flying.
When Dreamcaller Siren enters the battlefield, if you control another Pirate, tap up to two target nonland permanents.",3,Creature — Siren Pirate,,
Eric Deschamps,2,,{1}{G},Drover of the Mighty,1,0.37,uncommon,"Drover of the Mighty gets +2/+2 as long as you control a Dinosaur.
{T}: Add one mana of any color.",1,Creature — Human Druid,,
Eric Deschamps,5,,{4}{B},Revel in Riches,,2.67,rare,"Whenever a creature an opponent controls dies, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")
At the beginning of your upkeep, if you control ten or more Treasures, you win the game.",,Enchantment,,
Eric Deschamps,3,,{2}{B},Sword-Point Diplomacy,,0.5,rare,"Reveal the top three cards of your library. For each of those cards, put that card into your hand unless any opponent pays 3 life. Then exile the rest.",,Sorcery,,
Eric Deschamps,3,,{2}{R},Act of Treason,,0.15,common,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.),,Sorcery,,
Eric Deschamps,1,,{W},Ajani's Welcome,,1.02,uncommon,"Whenever a creature enters the battlefield under your control, you gain 1 life.",,Enchantment,,
Eric Deschamps,5,5,{3}{W}{W},"Ajani, Wise Counselor",,,mythic,"[+2]: You gain 1 life for each creature you control.
[−3]: Creatures you control get +2/+2 until end of turn.
[−9]: Put X +1/+1 counters on target creature, where X is your life total.",,Legendary Planeswalker — Ajani,,
Eric Deschamps,2,,{1}{U},Mystic Archaeologist,2,0.35,rare,{3}{U}{U}: Draw two cards.,1,Creature — Human Wizard,,
Eric Deschamps,6,4,{4}{R}{G},"Domri, City Smasher",,,mythic,"[+2]: Creatures you control get +1/+1 and gain haste until end of turn.
[−3]: Domri, City Smasher deals 3 damage to any target.
[−8]: Put three +1/+1 counters on each creature you control. Those creatures gain trample until end of turn.",,Legendary Planeswalker — Domri,,
Eric Deschamps,6,,{4}{W}{B},Ethereal Absolution,,0.49,rare,"Creatures you control get +1/+1.
Creatures your opponents control get -1/-1.
{2}{W}{B}: Exile target card from an opponent's graveyard. If it was a creature card, you create a 1/1 white and black Spirit creature token with flying.",,Enchantment,,
Eric Deschamps,2,,{1}{B},Rakdos Trumpeter,1,0.15,common,"Menace (This creature can't be blocked except by two or more creatures.)
{3}{R}: Rakdos Trumpeter gets +2/+0 until end of turn.",3,Creature — Human Shaman,,
Even Amundsen,2,,{1}{G},Fungal Plots,,0.25,uncommon,"{1}{G}, Exile a creature card from your graveyard: Create a 1/1 green Saproling creature token.
Sacrifice two Saprolings: You gain 2 life and draw a card.",,Enchantment,,
Even Amundsen,4,,{3}{W},"Teshar, Ancestor's Apostle",2,0.49,rare,"Flying
Whenever you cast a historic spell, return target creature card with converted mana cost 3 or less from your graveyard to the battlefield. (Artifacts, legendaries, and Sagas are historic.)",2,Legendary Creature — Bird Cleric,,
Even Amundsen,6,,{4}{G}{G},Bounty of Might,,0.29,rare,"Target creature gets +3/+3 until end of turn.
Target creature gets +3/+3 until end of turn.
Target creature gets +3/+3 until end of turn.",,Instant,,
Even Amundsen,4,,{2}{W}{W},Inspiring Unicorn,2,0.2,uncommon,"Whenever Inspiring Unicorn attacks, creatures you control get +1/+1 until end of turn.",2,Creature — Unicorn,,
Even Amundsen,4,,{3}{W},Parhelion Patrol,2,0.15,common,"Flying, vigilance
Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)",3,Creature — Human Knight,,
Even Amundsen,4,,{2}{U}{R},Ral's Staticaster,3,0.25,uncommon,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever Ral's Staticaster attacks, if you control a Ral planeswalker, Ral's Staticaster gets +1/+0 for each card in your hand until end of turn.",3,Creature — Viashino Wizard,,
Even Amundsen,2,,{1}{R},Raptor Hatchling,1,0.28,uncommon,"Enrage — Whenever Raptor Hatchling is dealt damage, create a 3/3 green Dinosaur creature token with trample.",1,Creature — Dinosaur,,
Even Amundsen,4,,{2}{G}{G},Slice in Twain,,0.25,uncommon,"Destroy target artifact or enchantment.
Draw a card.",,Instant,,
Even Amundsen,4,,{1}{G}{W}{U},"Arcades, the Strategist",3,6.45,mythic,"Flying, vigilance
Whenever a creature with defender enters the battlefield under your control, draw a card.
Each creature you control with defender assigns combat damage equal to its toughness rather than its power and can attack as though it didn't have defender.",5,Legendary Creature — Elder Dragon,,
Even Amundsen,4,,{2}{B}{R},Brawl-Bash Ogre,3,0.24,uncommon,"Menace (This creature can't be blocked except by two or more creatures.)
Whenever Brawl-Bash Ogre attacks, you may sacrifice another creature. If you do, Brawl-Bash Ogre gets +2/+2 until end of turn.",3,Creature — Ogre Warrior,,
Even Amundsen,2,,{R}{R},Doublecast,,0.35,uncommon,"When you cast your next instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy.",,Sorcery,,
Even Amundsen,4,,{3}{W},Dwarven Priest,2,0.15,common,"When Dwarven Priest enters the battlefield, you gain 1 life for each creature you control.",4,Creature — Dwarf Cleric,,
Even Amundsen,5,,{3}{R}{R},Siegebreaker Giant,6,0.23,uncommon,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
{3}{R}: Target creature can't block this turn.",3,Creature — Giant Warrior,,
Even Amundsen,5,,{3}{W}{U},Azorius Knight-Arbiter,2,0.12,common,"Vigilance
Azorius Knight-Arbiter can't be blocked.",5,Creature — Human Knight,,
Even Amundsen,3,,{2}{G},Gatebreaker Ram,2,0.34,uncommon,"Gatebreaker Ram gets +1/+1 for each Gate you control.
As long as you control two or more Gates, Gatebreaker Ram has vigilance and trample.",2,Creature — Sheep,,
Even Amundsen,3,,{2}{B},Gruesome Fate,Each opponent loses 1 life for each creature you control.,Sorcery,,0.15,common,Each opponent loses 1 life for each creature you control.,,Sorcery
Eytan Zana,0,,,Golgari Guildgate,,0.15,common,"Golgari Guildgate enters the battlefield tapped.
{T}: Add {B} or {G}.",,Land — Gate,,
Eytan Zana,0,,,Golgari Guildgate,,0.15,common,"Golgari Guildgate enters the battlefield tapped.
{T}: Add {B} or {G}.",,Land — Gate,,
Eytan Zana,5,,{4}{U},Chillbringer,3,0.14,common,"Flying
When Chillbringer enters the battlefield, tap target creature an opponent controls. It doesn't untap during its controller's next untap step.",3,Creature — Elemental,,
Eytan Zana,0,,,Forest,,0.22,common,({T}: Add {G}.),,Basic Land — Forest,,
Eytan Zana,3,,{2}{R},Gates Ablaze,,0.3,uncommon,"Gates Ablaze deals X damage to each creature, where X is the number of Gates you control.",,Sorcery,,
Eytan Zana,0,,,Island,,0.34,common,({T}: Add {U}.),,Basic Land — Island,,
Filip Burburan,1,,{B},Fungal Infection,,0.18,common,Target creature gets -1/-1 until end of turn. Create a 1/1 green Saproling creature token.,,Instant,,
Filip Burburan,5,,{4}{R},Barging Sergeant,4,0.15,common,"Haste
Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)",2,Creature — Minotaur Soldier,,
