artist,convertedManaCost,loyalty,manaCost,name,power,prices/paper/2019-07-21,rarity,text,toughness,type
Dan Scott,4,,{2}{G}{G},Nightpack Ambusher,4,3.68,rare,"Flash
Other Wolves and Werewolves you control get +1/+1.
At the beginning of your end step, if you didn't cast a spell this turn, create a 2/2 green Wolf creature token.",4,Creature — Wolf
Dan Scott,2,,{1}{W},War Screecher,1,0.14,common,"Flying
{5}{W}, {T}: Other creatures you control get +1/+1 until end of turn.",3,Creature — Bird
Daniel Ljunggren,4,,{2}{U}{U},Celestial Messenger,3,0.34,common,"Flash (You may cast this card any time you could cast an instant.)
Flying
Celestial Messenger gets +1/+1 as long as you control a Yanling planeswalker.",2,Creature — Bird Spirit
Daniel Ljunggren,2,,{1}{U},Cerulean Drake,1,0.25,uncommon,"Flying
Protection from red (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything red.)
Sacrifice Cerulean Drake: Counter target spell that targets you.",1,Creature — Drake
Daniel Ljunggren,1,,{1},Grafdigger's Cage,,1.71,rare,"Creature cards in graveyards and libraries can't enter the battlefield.
Players can't cast spells from graveyards or libraries.",,Artifact
Daniel Ljunggren,6,,{4}{B}{B},Gravewaker,5,0.9,rare,"Flying (This creature can't be blocked except by creatures with flying or reach.)
{5}{B}{B}: Return target creature card from your graveyard to the battlefield tapped.",5,Creature — Bird Spirit
Daniel Ljunggren,5,,{2}{U}{U}{B},Enter the God-Eternals,,1.25,rare,"Enter the God-Eternals deals 4 damage to target creature and you gain life equal to the damage dealt this way. Target player puts the top four cards of their library into their graveyard. Amass 4. (Put four +1/+1 counters on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.)",,Sorcery
Daniel Ljunggren,2,,{2},Guild Globe,,0.14,common,"When Guild Globe enters the battlefield, draw a card.
{2}, {T}, Sacrifice Guild Globe: Add two mana of different colors.",,Artifact
Daniel Ljunggren,4,,{4},Saheeli's Silverwing,2,0.14,common,"Flying
When Saheeli's Silverwing enters the battlefield, look at the top card of target opponent's library.",3,Artifact Creature — Drake
Daniel Ljunggren,2,,{U}{U},Silent Submersible,2,0.26,rare,"Whenever Silent Submersible deals combat damage to a player or planeswalker, draw a card.
Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)",3,Artifact — Vehicle
Darek Zabrocki,6,,{5}{B},Feral Abomination,5,0.15,common,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.),5,Creature — Thrull
Darek Zabrocki,4,,{2}{U}{U},Jace's Projection,2,0.28,uncommon,"Whenever you draw a card, put a +1/+1 counter on Jace's Projection.
{3}{U}: Put a loyalty counter on target Jace planeswalker.",2,Creature — Wizard Illusion
David Palumbo,2,,{1}{B},Legion's End,,0.68,rare,Exile target creature an opponent controls with converted mana cost 2 or less and all other creatures that player controls with the same name as that creature. Then that player reveals their hand and exiles all cards with that name from their hand and graveyard.,,Sorcery
David Palumbo,2,,{1}{W},Moorland Inquisitor,2,0.15,common,{2}{W}: Moorland Inquisitor gains first strike until end of turn. (It deals combat damage before creatures without first strike.),2,Creature — Human Soldier
David Palumbo,6,,{4}{B}{B},Thought Distortion,,0.23,uncommon,"This spell can't be countered.
Target opponent reveals their hand. Exile all noncreature, nonland cards from that player's hand and graveyard.",,Sorcery
David Palumbo,3,,{2}{R},Honor the God-Pharaoh,,0.15,common,"As an additional cost to cast this spell, discard a card.
Draw two cards. Amass 1. (Put a +1/+1 counter on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.)",,Sorcery
David Rapoza,2,,{1}{W},Fencing Ace,1,0.2,uncommon,Double strike (This creature deals both first-strike and regular combat damage.),1,Creature — Human Soldier
Deruchenko Alexander,2,,{1}{W},Desperate Lunge,,0.25,common,Target creature gets +2/+2 and gains flying until end of turn. You gain 2 life.,,Instant
Dmitry Burmak,3,,{2}{B},Audacious Thief,2,0.15,common,"Whenever Audacious Thief attacks, you draw a card and you lose 1 life.",2,Creature — Human Rogue
Dmitry Burmak,1,,{1},Bag of Holding,,0.8,rare,"Whenever you discard a card, exile that card from your graveyard.
{2}, {T}: Draw a card, then discard a card.
{4}, {T}, Sacrifice Bag of Holding: Return all cards exiled with Bag of Holding to their owner's hand.",,Artifact
Dmitry Burmak,1,,{1},Colossus Hammer,,0.49,uncommon,"Equipped creature gets +10/+10 and loses flying.
Equip {8} ({8}: Attach to target creature you control. Equip only as a sorcery.)",,Artifact — Equipment
Dmitry Burmak,1,,{G},Giant Growth,,0.15,common,Target creature gets +3/+3 until end of turn.,,Instant
Dmitry Burmak,3,,{1}{B}{R},Mayhem Devil,3,0.22,uncommon,"Whenever a player sacrifices a permanent, Mayhem Devil deals 1 damage to any target.",3,Creature — Devil
Donato Giancola,6,,{4}{R}{R},Shivan Dragon,5,0.92,rare,"Flying (This creature can't be blocked except by creatures with flying or reach.)
{R}: Shivan Dragon gets +1/+0 until end of turn.",5,Creature — Dragon
D-suzuki,6,7,{4}{G}{G},"Arlinn, Voice of the Pack",,,uncommon,"Each creature you control that's a Wolf or a Werewolf enters the battlefield with an additional +1/+1 counter on it.
[−2]: Create a 2/2 green Wolf creature token.",,Legendary Planeswalker — Arlinn
Ekaterina Burmak,3,,{2}{W},Gauntlets of Light,,0.22,uncommon,"Enchant creature
Enchanted creature gets +0/+2 and assigns combat damage equal to its toughness rather than its power.
Enchanted creature has ""{2}{W}: Untap this creature.""",,Enchantment — Aura
Eric Deschamps,3,,{2}{R},Act of Treason,,0.16,common,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.),,Sorcery
Eric Deschamps,2,,{1}{R},Chandra's Regulator,,0.51,rare,"Whenever you activate a loyalty ability of a Chandra planeswalker, you may pay {1}. If you do, copy that ability. You may choose new targets for the copy.
{1}, {T}, Discard a Mountain card or a red card: Draw a card.",,Legendary Artifact
Eric Deschamps,2,,{1}{U},Renowned Weaponsmith,1,0.23,uncommon,"{T}: Add {C}{C}. Spend this mana only to cast artifact spells or activate abilities of artifacts.
{U}, {T}: Search your library for a card named Heart-Piercer Bow or Vial of Dragonfire, reveal it, put it into your hand, then shuffle your library.",3,Creature — Human Artificer
Eric Deschamps,2,,{1}{W},Starfield Mystic,2,0.49,rare,"Enchantment spells you cast cost {1} less to cast.
Whenever an enchantment you control is put into a graveyard from the battlefield, put a +1/+1 counter on Starfield Mystic.",2,Creature — Human Cleric
Eric Deschamps,2,,{1}{U},Contentious Plan,,0.15,common,"Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)
Draw a card.",,Sorcery
Eric Deschamps,1,,{W},Law-Rune Enforcer,1,0.14,common,"{1}, {T}: Tap target creature with converted mana cost 2 or greater.",2,Creature — Human Soldier
Eric Deschamps,4,,{3}{U},Spark Double,0,1.82,rare,"You may have Spark Double enter the battlefield as a copy of a creature or planeswalker you control, except it enters with an additional +1/+1 counter on it if it's a creature, it enters with an additional loyalty counter on it if it's a planeswalker, and it isn't legendary if that permanent is legendary.",0,Creature — Illusion
Even Amundsen,4,,{3}{G},Bloom Hulk,4,0.15,common,"When Bloom Hulk enters the battlefield, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",4,Creature — Plant Elemental
Even Amundsen,4,,{3}{G},Centaur Nurturer,2,0.14,common,"When Centaur Nurturer enters the battlefield, you gain 3 life.
{T}: Add one mana of any color.",4,Creature — Centaur Druid
Eytan Zana,0,,,Jungle Hollow,,0.18,common,"Jungle Hollow enters the battlefield tapped.
When Jungle Hollow enters the battlefield, you gain 1 life.
{T}: Add {B} or {G}.",,Land
Eytan Zana,0,,,Rugged Highlands,,0.16,common,"Rugged Highlands enters the battlefield tapped.
When Rugged Highlands enters the battlefield, you gain 1 life.
{T}: Add {R} or {G}.",,Land
Eytan Zana,0,,,Scoured Barrens,,0.16,common,"Scoured Barrens enters the battlefield tapped.
When Scoured Barrens enters the battlefield, you gain 1 life.
{T}: Add {W} or {B}.",,Land
Eytan Zana,0,,,Swiftwater Cliffs,,0.17,common,"Swiftwater Cliffs enters the battlefield tapped.
When Swiftwater Cliffs enters the battlefield, you gain 1 life.
{T}: Add {U} or {R}.",,Land
Eytan Zana,0,,,Thornwood Falls,,0.16,common,"Thornwood Falls enters the battlefield tapped.
When Thornwood Falls enters the battlefield, you gain 1 life.
{T}: Add {G} or {U}.",,Land
Eytan Zana,0,,,Wind-Scarred Crag,,0.18,common,"Wind-Scarred Crag enters the battlefield tapped.
When Wind-Scarred Crag enters the battlefield, you gain 1 life.
{T}: Add {R} or {W}.",,Land
Eytan Zana,3,,{2}{G},New Horizons,,0.15,common,"Enchant land
When New Horizons enters the battlefield, put a +1/+1 counter on target creature you control.
Enchanted land has ""{T}: Add two mana of any one color.""",,Enchantment — Aura
Filip Burburan,6,,{3}{G}{G}{G},Aggressive Mammoth,8,0.99,rare,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Other creatures you control have trample.",8,Creature — Elephant
Filip Burburan,3,,{1}{G}{W},Ironroot Warlord,*,0.2,uncommon,"Ironroot Warlord's power is equal to the number of creatures you control.
{3}{G}{W}: Create a 1/1 white Soldier creature token.",5,Creature — Treefolk Soldier
Filip Burburan,2,,{1}{G},Leafkin Druid,0,0.18,common,"{T}: Add {G}. If you control four or more creatures, add {G}{G} instead.",3,Creature — Elemental Druid
Filip Burburan,2,,{1}{G},Plummet,,0.15,common,Destroy target creature with flying.,,Instant
Filip Burburan,6,,{4}{G}{G},Wakeroot Elemental,5,0.35,rare,{G}{G}{G}{G}{G}: Untap target land you control. It becomes a 5/5 Elemental creature with haste. It's still a land. (This effect lasts as long as that land remains on the battlefield.),5,Creature — Elemental
Filip Burburan,5,,{3}{R}{R},"Ilharg, the Raze-Boar",6,5.82,mythic,"Trample
Whenever Ilharg, the Raze-Boar attacks, you may put a creature card from your hand onto the battlefield tapped and attacking. Return that creature to your hand at the beginning of the next end step.
When Ilharg, the Raze-Boar dies or is put into exile from the battlefield, you may put it into its owner's library third from the top.",6,Legendary Creature — Boar God
Foo Midori,3,5,{1}{U}{U},"Narset, Parter of Veils",,,uncommon,"Each opponent can't draw more than one card each turn.
[−2]: Look at the top four cards of your library. You may reveal a noncreature, nonland card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",,Legendary Planeswalker — Narset
Foo Midori,3,5,{2}{W},"Teyo, the Shieldmage",,,uncommon,"You have hexproof. (You can't be the target of spells or abilities your opponents control.)
[−2]: Create a 0/3 white Wall creature token with defender.",,Legendary Planeswalker — Teyo
Franz Vohwinkel,2,,{2},Heart-Piercer Bow,,0.15,common,"Whenever equipped creature attacks, Heart-Piercer Bow deals 1 damage to target creature defending player controls.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",,Artifact — Equipment
Franz Vohwinkel,2,,{2},Vial of Dragonfire,,0.15,common,"{2}, {T}, Sacrifice Vial of Dragonfire: It deals 2 damage to target creature.",,Artifact
Fuzichoco,4,5,{2}{G}{U},"Tamiyo, Collector of Tales",,,rare,"Spells and abilities your opponents control can't cause you to discard cards or sacrifice permanents.
[+1]: Choose a nonland card name, then reveal the top four cards of your library. Put all cards with the chosen name from among them into your hand and the rest into your graveyard.
[−3]: Return target card from your graveyard to your hand.",,Legendary Planeswalker — Tamiyo
Gabor Szikszai,4,,{3}{R},Goblin Ringleader,2,0.25,uncommon,"Haste (This creature can attack and {T} as soon as it comes under your control.)
When Goblin Ringleader enters the battlefield, reveal the top four cards of your library. Put all Goblin cards revealed this way into your hand and the rest on the bottom of your library in any order.",2,Creature — Goblin
Gabor Szikszai,1,,{W},Defiant Strike,,0.15,common,"Target creature gets +1/+0 until end of turn.
Draw a card.",,Instant
G-host Lee,4,,{1}{U}{R}{W},"Kykar, Wind's Fury",3,3.77,mythic,"Flying
Whenever you cast a noncreature spell, create a 1/1 white Spirit creature token with flying.
Sacrifice a Spirit: Add {R}.",3,Legendary Creature — Bird Wizard
G-host Lee,3,2,{1}{U}{U},"Mu Yanling, Sky Dancer",,10,mythic,"[+2]: Until your next turn, up to one target creature gets -2/-0 and loses flying.
[−3]: Create a 4/4 blue Elemental Bird creature token with flying.
[−8]: You get an emblem with ""Islands you control have '{T}: Draw a card.'""",,Legendary Planeswalker — Yanling
G-host Lee,2,,{1}{R},Dreadhorde Arcanist,1,9.99,rare,"Trample
Whenever Dreadhorde Arcanist attacks, you may cast target instant or sorcery card with converted mana cost less than or equal to Dreadhorde Arcanist's power from your graveyard without paying its mana cost. If that card would be put into your graveyard this turn, exile it instead.",3,Creature — Zombie Wizard
G-host Lee,3,,{2}{U},No Escape,,0.15,common,"Counter target creature or planeswalker spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.
Scry 1.",,Instant
Grzegorz Rutkowski,2,,{G}{G},Barkhide Troll,2,0.2,uncommon,"Barkhide Troll enters the battlefield with a +1/+1 counter on it.
{1}, Remove a +1/+1 counter from Barkhide Troll: Barkhide Troll gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)",2,Creature — Troll
Grzegorz Rutkowski,7,,{4}{R}{R}{R},"Drakuseth, Maw of Flames",7,0.76,rare,"Flying
Whenever Drakuseth, Maw of Flames attacks, it deals 4 damage to any target and 3 damage to each of up to two other targets.",7,Legendary Creature — Dragon
Grzegorz Rutkowski,7,,{5}{G}{G},Howling Giant,5,0.21,uncommon,"Reach (This creature can block creatures with flying.)
When Howling Giant enters the battlefield, create two 2/2 green Wolf creature tokens.",5,Creature — Giant Druid
Grzegorz Rutkowski,4,,{3}{U},Octoprophet,3,0.16,common,"When Octoprophet enters the battlefield, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",3,Creature — Octopus
Grzegorz Rutkowski,5,,{3}{W}{W},God-Eternal Oketra,3,8,mythic,"Double strike
Whenever you cast a creature spell, create a 4/4 black Zombie Warrior creature token with vigilance.
When God-Eternal Oketra dies or is put into exile from the battlefield, you may put it into its owner's library third from the top.",6,Legendary Creature — Zombie God
Grzegorz Rutkowski,5,,{4}{G},Storm the Citadel,,0.2,uncommon,"Until end of turn, creatures you control get +2/+2 and gain ""Whenever this creature deals combat damage to a player or planeswalker, destroy target artifact or enchantment defending player controls.""",,Sorcery
Hagiya Kaoru,3,3,{2}{B},"Davriel, Rogue Shadowmage",,,uncommon,"At the beginning of each opponent's upkeep, if that player has one or fewer cards in hand, Davriel, Rogue Shadowmage deals 2 damage to them.
[−1]: Target player discards a card.",,Legendary Planeswalker — Davriel
Heonhwa Choe,2,,{1}{R},Maniacal Rage,,0.15,common,"Enchant creature
Enchanted creature gets +2/+2 and can't block.",,Enchantment — Aura
Heonhwa Choe,3,,{2}{U},Flux Channeler,2,0.33,uncommon,"Whenever you cast a noncreature spell, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",2,Creature — Human Wizard
Heonhwa Choe,4,,{3}{B},Herald of the Dreadhorde,3,0.15,common,"When Herald of the Dreadhorde dies, amass 2. (Put two +1/+1 counters on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.)",2,Creature — Zombie Warrior
Heonhwa Choe,3,,{2}{U},Stealth Mission,,0.15,common,Put two +1/+1 counters on target creature you control. That creature can't be blocked this turn.,,Sorcery
Hisashi Momose,3,5,{1}{U/R}{U/R},"Saheeli, Sublime Artificer",,,uncommon,"Whenever you cast a noncreature spell, create a 1/1 colorless Servo artifact creature token.
[−2]: Target artifact you control becomes a copy of another target artifact or creature you control until end of turn, except it's an artifact in addition to its other types.",,Legendary Planeswalker — Saheeli
Hisashi Momose,3,4,{2}{G},"Vivien, Champion of the Wilds",,,rare,"You may cast creature spells as though they had flash.
[+1]: Until your next turn, up to one target creature gains vigilance and reach.
[−2]: Look at the top three cards of your library. Exile one face down and put the rest on the bottom of your library in any order. For as long as it remains exiled, you may look at that card and you may cast it if it's a creature card.",,Legendary Planeswalker — Vivien
Hitowa,5,5,{3}{G}{G},"Nissa, Who Shakes the World",,,rare,"Whenever you tap a Forest for mana, add an additional {G}.
[+1]: Put three +1/+1 counters on up to one target noncreature land you control. Untap it. It becomes a 0/0 Elemental creature with vigilance and haste that's still a land.
[−8]: You get an emblem with ""Lands you control have indestructible."" Search your library for any number of Forest cards, put them onto the battlefield tapped, then shuffle your library.",,Legendary Planeswalker — Nissa
Howard Lyon,4,,{2}{R}{W},Heartwarming Redemption,,0.2,uncommon,"Discard all the cards in your hand, then draw that many cards plus one. You gain life equal to the number of cards in your hand.",,Instant
Hozan Shinomaru,3,5,{1}{U/B}{U/B},"Ashiok, Dream Render",,,uncommon,"Spells and abilities your opponents control can't cause their controller to search their library.
[−1]: Target player puts the top four cards of their library into their graveyard. Then exile each opponent's graveyard.",,Legendary Planeswalker — Ashiok
Igor Kieryluk,7,,{5}{U}{U},Agent of Treachery,2,0.52,rare,"When Agent of Treachery enters the battlefield, gain control of target permanent.
At the beginning of your end step, if you control three or more permanents you don't own, draw three cards.",3,Creature — Human Rogue
Igor Kieryluk,3,,{1}{B}{B},Bloodthirsty Aerialist,2,0.24,uncommon,"Flying
Whenever you gain life, put a +1/+1 counter on Bloodthirsty Aerialist.",3,Creature — Vampire Rogue
Igor Kieryluk,3,,{1}{B}{B},Embodiment of Agonies,0,1.03,rare,"Flying, deathtouch
Embodiment of Agonies enters the battlefield with a +1/+1 counter on it for each different mana cost among nonland cards in your graveyard. (For example, {2}{B} and {1}{B}{B} are different mana costs.)",0,Creature — Demon
Igor Kieryluk,2,,{1}{R},Mask of Immolation,,0.2,uncommon,"When Mask of Immolation enters the battlefield, create a 1/1 red Elemental creature token, then attach Mask of Immolation to it.
Equipped creature has ""Sacrifice this creature: It deals 1 damage to any target.""
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",,Artifact — Equipment
Igor Kieryluk,2,,{1}{B},Walking Corpse,2,0.18,common,,2,Creature — Zombie
Igor Kieryluk,6,,{6},God-Pharaoh's Statue,,0.25,uncommon,"Spells your opponents cast cost {2} more to cast.
At the beginning of your end step, each opponent loses 1 life.",,Legendary Artifact
Igor Kieryluk,4,,{2}{R}{R},"Neheb, Dreadhorde Champion",5,0.49,rare,"Trample
Whenever Neheb, Dreadhorde Champion deals combat damage to a player or planeswalker, you may discard any number of cards. If you do, draw that many cards and add that much {R}. Until end of turn, you don't lose this mana as steps and phases end.",4,Legendary Creature — Zombie Minotaur Warrior
Igor Kieryluk,3,,{2}{B},Ob Nixilis's Cruelty,,0.15,common,"Target creature gets -5/-5 until end of turn. If that creature would die this turn, exile it instead.",,Instant
Igor Kieryluk,4,,{1}{B}{B}{G},"Storrev, Devkarin Lich",5,0.36,rare,"Trample
Whenever Storrev, Devkarin Lich deals combat damage to a player or planeswalker, return to your hand target creature or planeswalker card in your graveyard that wasn't put there this combat.",4,Legendary Creature — Zombie Elf Wizard
Igor Kieryluk,3,,{2}{W},Teyo's Lightshield,0,0.15,common,"When Teyo's Lightshield enters the battlefield, put a +1/+1 counter on target creature you control.",3,Creature — Illusion
Igor Kieryluk,3,,{2}{B},Vraska's Finisher,3,0.15,common,"When Vraska's Finisher enters the battlefield, destroy target creature or planeswalker an opponent controls that was dealt damage this turn.",2,Creature — Gorgon Assassin
Izzy,3,,{2}{U},Frost Lynx,2,0.15,common,"When Frost Lynx enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.",2,Creature — Elemental Cat
Izzy,4,,{2}{R}{R},Repeated Reverberation,,0.49,rare,"When you next cast an instant spell, cast a sorcery spell, or activate a loyalty ability this turn, copy that spell or ability twice. You may choose new targets for the copies.",,Instant
Izzy,4,,{2}{G}{G},Shifting Ceratops,5,2.99,rare,"This spell can't be countered.
Protection from blue (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything blue.)
{G}: Shifting Ceratops gains your choice of reach, trample, or haste until end of turn.",4,Creature — Dinosaur
Izzy,1,,{U},Unsummon,,0.15,common,Return target creature to its owner's hand.,,Instant
Izzy,6,,{4}{R}{R},Bond of Passion,,0.2,uncommon,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. Bond of Passion deals 2 damage to any other target.,,Sorcery
Izzy,2,,{W}{U},Dovin's Veto,,0.95,uncommon,"This spell can't be countered.
Counter target noncreature spell.",,Instant
Izzy,2,,{1}{W},Grateful Apparition,1,0.23,uncommon,"Flying
Whenever Grateful Apparition deals combat damage to a player or planeswalker, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",1,Creature — Spirit
Izzy,5,,{4}{G},Thundering Ceratok,4,0.15,common,"Trample
When Thundering Ceratok enters the battlefield, other creatures you control gain trample until end of turn.",5,Creature — Rhino
Jaime Jones,5,,{3}{G}{G},Awakening of Vitu-Ghazi,,0.38,rare,Put nine +1/+1 counters on target land you control. It becomes a legendary 0/0 Elemental creature with haste named Vitu-Ghazi. It's still a land.,,Instant
Jaime Jones,2,,{X}{R}{R},Finale of Promise,,11.11,mythic,"You may cast up to one target instant card and/or up to one target sorcery card from your graveyard each with converted mana cost X or less without paying their mana costs. If a card cast this way would be put into your graveyard this turn, exile it instead. If X is 10 or more, copy each of those spells twice. You may choose new targets for the copies.",,Sorcery
Jaime Jones,3,7,{2}{G/U},"Kiora, Behemoth Beckoner",,0.41,uncommon,"Whenever a creature with power 4 or greater enters the battlefield under your control, draw a card.
[−1]: Untap target permanent.",,Legendary Planeswalker — Kiora
Jakub Kasper,1,,{R},Reckless Air Strike,,0.15,common,"Choose one —
• Reckless Air Strike deals 3 damage to target creature with flying.
• Destroy target artifact.",,Sorcery
Jakub Kasper,3,,{1}{G}{G},Thrashing Brontodon,3,0.24,uncommon,"{1}, Sacrifice Thrashing Brontodon: Destroy target artifact or enchantment.",4,Creature — Dinosaur
James Paick,3,,{3},Salvager of Ruin,2,0.22,uncommon,Sacrifice Salvager of Ruin: Choose target permanent card in your graveyard that was put there from the battlefield this turn. Return it to your hand.,1,Artifact Creature — Construct
James Paick,3,,{R}{R}{G},Living Twister,2,0.49,rare,"{1}{R}, Discard a land card: Living Twister deals 2 damage to any target.
{G}: Return a tapped land you control to its owner's hand.",5,Creature — Elemental
James Paick,3,,{2}{R},Spellgorger Weird,2,0.15,common,"Whenever you cast a noncreature spell, put a +1/+1 counter on Spellgorger Weird.",2,Creature — Weird
James Paick,3,,{2}{U},Spellkeeper Weird,1,0.14,common,"{2}, {T}, Sacrifice Spellkeeper Weird: Return target instant or sorcery card from your graveyard to your hand.",4,Creature — Weird
James Ryman,1,,{W},Soulmender,1,0.15,common,{T}: You gain 1 life.,1,Creature — Human Cleric
James Zapata,4,,{4},Anvilwrought Raptor,2,0.15,common,"Flying
First strike (This creature deals combat damage before creatures without first strike.)",1,Artifact Creature — Bird
James Zapata,4,,{3}{B},Undead Servant,3,0.15,common,"When Undead Servant enters the battlefield, create a 2/2 black Zombie creature token for each card named Undead Servant in your graveyard.",2,Creature — Zombie
Jana Schirmer,4,,{3}{W},Twinblade Paladin,3,0.86,uncommon,"Whenever you gain life, put a +1/+1 counter on Twinblade Paladin.
As long as you have 25 or more life, Twinblade Paladin has double strike. (It deals both first-strike and regular combat damage.)",3,Creature — Human Knight
Jason A. Engle,3,,{1}{W}{U},Empyrean Eagle,2,0.28,uncommon,"Flying
Other creatures you control with flying get +1/+1.",3,Creature — Bird Spirit
Jason A. Engle,5,,{4}{R},Reduce to Ashes,,0.15,common,"Reduce to Ashes deals 5 damage to target creature. If that creature would die this turn, exile it instead.",,Sorcery
Jason Felix,6,,{4}{B}{B},Bogstomper,6,1.99,common,,5,Creature — Beast
Jason Felix,5,,{3}{G}{G},Ethereal Elk,3,0.88,rare,"Trample
When Ethereal Elk enters the battlefield, you may search your library and/or graveyard for a card named Vivien, Nature's Avenger, reveal it, and put it into your hand. If you search your library this way, shuffle it.",3,Creature — Elk Spirit
Jason Felix,5,,{4}{R},Cyclops Electromancer,4,0.19,uncommon,"When Cyclops Electromancer enters the battlefield, it deals X damage to target creature an opponent controls, where X is the number of instant and sorcery cards in your graveyard.",2,Creature — Cyclops Wizard
Jason Felix,1,,{R},Grim Initiate,1,0.15,common,"First strike
When Grim Initiate dies, amass 1. (Put a +1/+1 counter on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.)",1,Creature — Zombie Warrior
Jason Kang,2,,{1}{B},Blightbeetle,1,0.21,uncommon,"Protection from green (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything green.)
Creatures your opponents control can't have +1/+1 counters put on them.",1,Creature — Insect
Jason Kang,3,,{2}{R},Uncaged Fury,,0.2,uncommon,Target creature gets +1/+1 and gains double strike until end of turn. (It deals both first-strike and regular combat damage.),,Instant
Jason Rainville,1,,{R},Shock,,0.15,common,Shock deals 2 damage to any target.,,Instant
Jason Rainville,5,,{3}{B}{B},Sorin's Guide,4,0.93,rare,"When Sorin's Guide enters the battlefield, you may search your library and/or graveyard for a card named Sorin, Vampire Lord, reveal it, and put it into your hand. If you search your library this way, shuffle it.",2,Creature — Vampire
Jason Rainville,2,,{1}{B},Vampire Opportunist,2,0.33,common,{6}{B}: Each opponent loses 2 life and you gain 2 life.,1,Creature — Vampire
Jason Rainville,1,,{G},Arboreal Grazer,0,0.19,common,"Reach
When Arboreal Grazer enters the battlefield, you may put a land card from your hand onto the battlefield tapped.",3,Creature — Beast
Jason Rainville,2,,{1}{B},Vampire Opportunist,2,0.14,common,{6}{B}: Each opponent loses 2 life and you gain 2 life.,1,Creature — Vampire
Jedd Chevrier,0,,,Mobilized District,,0.74,rare,"{T}: Add {C}.
{4}: Mobilized District becomes a 3/3 Citizen creature with vigilance until end of turn. It's still a land. This ability costs {1} less to activate for each legendary creature and planeswalker you control.",,Land
Jehan Choo,5,,{2}{G}{G}{G},Cavalier of Thorns,5,10.6,mythic,"Reach
When Cavalier of Thorns enters the battlefield, reveal the top five cards of your library. Put a land card from among them onto the battlefield and the rest into your graveyard.
When Cavalier of Thorns dies, you may exile it. If you do, put another target card from your graveyard on top of your library.",6,Creature — Elemental Knight
Jehan Choo,6,,{5}{R},Invading Manticore,4,0.15,common,"When Invading Manticore enters the battlefield, amass 2. (Put two +1/+1 counters on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.)",5,Creature — Zombie Manticore
Jenn Ravenna,4,,{4},Firemind Vessel,,0.25,uncommon,"Firemind Vessel enters the battlefield tapped.
{T}: Add two mana of different colors.",,Artifact
Jeremy Jarvis,3,,{3},Scuttlemutt,2,0.2,uncommon,"{T}: Add one mana of any color.
{T}: Target creature becomes the color or colors of your choice until end of turn.",2,Artifact Creature — Scarecrow
Jesper Ejsing,2,,{1}{R},Goblin Assailant,2,0.35,common,,2,Creature — Goblin Warrior
Jesper Ejsing,2,,{1}{W},Pacifism,,0.15,common,"Enchant creature
Enchanted creature can't attack or block.",,Enchantment — Aura
Jesper Ejsing,4,,{4},Pattern Matcher,3,0.19,uncommon,"When Pattern Matcher enters the battlefield, you may search your library for a card with the same name as another creature you control, reveal it, put it into your hand, then shuffle your library.",3,Artifact Creature — Golem
Jesper Ejsing,2,,{1}{U},"Fblthp, the Lost",1,0.55,rare,"When Fblthp, the Lost enters the battlefield, draw a card. If it entered from your library or was cast from your library, draw two cards instead.
When Fblthp becomes the target of a spell, shuffle Fblthp into its owner's library.",1,Legendary Creature — Homunculus
Jesper Ejsing,2,,{1}{R},Goblin Assailant,2,0.15,common,,2,Creature — Goblin Warrior
Jesper Ejsing,4,,{3}{W},Loxodon Sergeant,3,0.15,common,"Vigilance
When Loxodon Sergeant enters the battlefield, other creatures you control gain vigilance until end of turn.",3,Creature — Elephant Soldier
